[01:26:50.647] [INFO] ============================================================
[01:26:50.647] [INFO] 🎓 Dil Evi — English Lesson (DEBUG MODE)
[01:26:50.648] [INFO] ============================================================
[01:26:50.648] [INFO] Log file: debug_20260419_012650.log
[01:26:50.648] [INFO] Teacher: Amelia
[01:26:50.650] [INFO] Level: A2
[01:26:59.006] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:59.036] [DEBUG] VAD: is_speech=False, energy=0.0209, is_playing=False
[01:26:59.067] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:59.097] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:59.118] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:59.147] [DEBUG] VAD: is_speech=False, energy=0.0208, is_playing=False
[01:26:59.178] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:59.209] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:59.240] [DEBUG] VAD: is_speech=False, energy=0.0201, is_playing=False
[01:26:59.270] [DEBUG] VAD: is_speech=False, energy=0.0203, is_playing=False
